FlowID,SrcIP,SrcPort,DstIP,DstPort,Protocol,StartTime,Fwd_Header_Len,Bwd_Header_Len,Tot_Fwd_Pkts,Tot_Bwd_Pkts,Tot_Fwd_Bytes,Tot_Bwd_Bytes,Fwd_PktLen_Min,Fwd_PktLen_Mean,Fwd_PktLen_Max,Fwd_PktLen_Std,Bwd_PktLen_Min,Bwd_PktLen_Mean,Bwd_PktLen_Max,Bwd_PktLen_Std,PktLen_Min,PktLen_Mean,PktLen_Max,PktLen_Var,PktLen_Std,Flow_Duration_s,Flow_IAT_Min,Flow_IAT_Mean,Flow_IAT_Max,Flow_IAT_Std,Fwd_IAT_Tot,Fwd_IAT_Min,Fwd_IAT_Mean,Fwd_IAT_Max,Fwd_IAT_Std,Bwd_IAT_Tot,Bwd_IAT_Min,Bwd_IAT_Mean,Bwd_IAT_Max,Bwd_IAT_Std,Active_Min,Active_Mean,Active_Max,Active_Std,Idle_Min,Idle_Mean,Idle_Max,Idle_Std,Fwd_PSH,Bwd_PSH,Fwd_URG,Bwd_URG,FIN_Count,SYN_Count,RST_Count,PSH_Count,ACK_Count,URG_Count,CWR_Count,ECE_Count,DownUp_Ratio,Fwd_Seg_Avg,Bwd_Seg_Avg,Fwd_Bulk_Byts_Avg,Fwd_Bulk_Pkts_Avg,Fwd_Bulk_Rate_Avg,Bwd_Bulk_Byts_Avg,Bwd_Bulk_Pkts_Avg,Bwd_Bulk_Rate_Avg,Init_Fwd_Win_Bytes,Init_Bwd_Win_Bytes,Fwd_Act_Data_Pkts,Fwd_Seg_Size_Min,Flow_Bytes_per_s,Flow_Pkts_per_s,Fwd_Pkts_per_s,Bwd_Pkts_per_s,Subflow_Fwd_Pkts_Avg,Subflow_Fwd_Bytes_Avg,Subflow_Bwd_Pkts_Avg,Subflow_Bwd_Bytes_Avg,TTL_Avg,TTL_Min,TTL_Max,Unique_Src_Ports,Unique_Dst_Ports,Packet_Size_Mode,Packet_Size_Median,First_Payload_Bytes,Label
10.0.3.6-34774-10.0.3.5-5353-17-1757681208198,10.0.3.6,34774,10.0.3.5,5353,17,1757681208.1986632,42,0,1,0,48,0,48,48,48,0.0,0.0,0.0,0.0,0.0,48,48,48,0.0,0.0,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,48,48000000.0,1000000.0,1000000.0,0.0,1,48,0,0,64,64,64,1,1,48,48.0,6,0
10.0.3.5-0-10.0.3.6-0-1-1757681208223,10.0.3.5,0,10.0.3.6,0,1,1757681208.223908,34,0,1,0,76,0,76,76,76,0.0,0.0,0.0,0.0,0.0,76,76,76,0.0,0.0,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,76,76000000.0,1000000.0,1000000.0,0.0,1,76,0,0,64,64,64,1,1,76,76.0,42,0
10.0.1.1-51731-10.0.3.5-5353-17-1757681208265,10.0.1.1,51731,10.0.3.5,5353,17,1757681208.2656348,126,0,3,0,144,0,48,48,48,0.0,0.0,0.0,0.0,0.0,48,48,48,0,0.0,0.035414934158325195,0.01737380027770996,0.017707467079162598,0.018041133880615234,0.0003336668014526367,0.035414934158325195,0.01737380027770996,0.017707467079162598,0.018041133880615234,0.0003336668014526367,0.0,0.0,0.0,0.0,0.0,0.035414934158325195,0.035414934158325195,0.035414934158325195,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,48,4066.0812570266794,84.71002618805582,84.71002618805582,0.0,3,144,0,0,64,64,64,1,1,48,48.0,6,0
10.0.1.2-56501-10.0.3.5-5353-17-1757681208267,10.0.1.2,56501,10.0.3.5,5353,17,1757681208.2674026,126,0,3,0,144,0,48,48,48,0.0,0.0,0.0,0.0,0.0,48,48,48,0,0.0,0.0344545841217041,0.016394853591918945,0.01722729206085205,0.018059730529785156,0.0008324384689331055,0.0344545841217041,0.016394853591918945,0.01722729206085205,0.018059730529785156,0.0008324384689331055,0.0,0.0,0.0,0.0,0.0,0.0344545841217041,0.0344545841217041,0.0344545841217041,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,48,4179.414834651554,87.07114238857403,87.07114238857403,0.0,3,144,0,0,64,64,64,1,1,48,48.0,6,0
10.0.1.2-57112-10.0.2.3-80-6-1757681208314,10.0.1.2,57112,10.0.2.3,80,6,1757681208.3140824,222,0,3,0,222,0,74,74,74,0.0,0.0,0.0,0.0,0.0,74,74,74,0,0.0,0.015139579772949219,0.007503509521484375,0.007569789886474609,0.007636070251464844,6.628036499023438e-05,0.015139579772949219,0.007503509521484375,0.007569789886474609,0.007636070251464844,6.628036499023438e-05,0.0,0.0,0.0,0.0,0.0,0.015139579772949219,0.015139579772949219,0.015139579772949219,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,74,14663.550992125984,198.15609448818898,198.15609448818898,0.0,3,222,0,0,64,64,64,1,1,74,74.0,0,0
10.0.3.6-40466-10.0.2.4-8080-6-1757681208316,10.0.3.6,40466,10.0.2.4,8080,6,1757681208.3160532,222,0,3,0,222,0,74,74,74,0.0,0.0,0.0,0.0,0.0,74,74,74,0,0.0,0.014871358871459961,0.007187366485595703,0.0074356794357299805,0.007683992385864258,0.00024831295013427734,0.014871358871459961,0.007187366485595703,0.0074356794357299805,0.007683992385864258,0.00024831295013427734,0.0,0.0,0.0,0.0,0.0,0.014871358871459961,0.014871358871459961,0.014871358871459961,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,74,14928.023855711423,201.73005210420843,201.73005210420843,0.0,3,222,0,0,64,64,64,1,1,74,74.0,0,0
10.0.3.5-46212-10.0.2.4-5201-6-1757681208317,10.0.3.5,46212,10.0.2.4,5201,6,1757681208.3177683,222,0,3,0,222,0,74,74,74,0.0,0.0,0.0,0.0,0.0,74,74,74,0,0.0,0.013935327529907227,0.0067310333251953125,0.006967663764953613,0.007204294204711914,0.00023663043975830078,0.013935327529907227,0.0067310333251953125,0.006967663764953613,0.007204294204711914,0.00023663043975830078,0.0,0.0,0.0,0.0,0.0,0.013935327529907227,0.013935327529907227,0.013935327529907227,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,74,15930.734281168197,215.28019298875944,215.28019298875944,0.0,3,222,0,0,64,64,64,1,1,74,74.0,0,0
10.0.1.1-45158-10.0.2.3-80-6-1757681208319,10.0.1.1,45158,10.0.2.3,80,6,1757681208.3198097,222,0,3,0,222,0,74,74,74,0.0,0.0,0.0,0.0,0.0,74,74,74,0,0.0,0.016649246215820312,0.008241891860961914,0.008324623107910156,0.008407354354858398,8.273124694824219e-05,0.016649246215820312,0.008241891860961914,0.008324623107910156,0.008407354354858398,8.273124694824219e-05,0.0,0.0,0.0,0.0,0.0,0.016649246215820312,0.016649246215820312,0.016649246215820312,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,74,13333.936991637072,180.1883377248253,180.1883377248253,0.0,3,222,0,0,64,64,64,1,1,74,74.0,0,0
10.0.1.2-33388-10.0.2.4-5201-6-1757681208325,10.0.1.2,33388,10.0.2.4,5201,6,1757681208.3252811,222,0,3,0,222,0,74,74,74,0.0,0.0,0.0,0.0,0.0,74,74,74,0,0.0,0.014880895614624023,0.0061419010162353516,0.007440447807312012,0.008738994598388672,0.0012985467910766602,0.014880895614624023,0.0061419010162353516,0.007440447807312012,0.008738994598388672,0.0012985467910766602,0.0,0.0,0.0,0.0,0.0,0.014880895614624023,0.014880895614624023,0.014880895614624023,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,74,14918.45690939678,201.60076904590244,201.60076904590244,0.0,3,222,0,0,64,64,64,1,1,74,74.0,0,0
10.0.1.1-40900-10.0.2.4-5201-6-1757681208337,10.0.1.1,40900,10.0.2.4,5201,6,1757681208.3372114,222,0,3,0,222,0,74,74,74,0.0,0.0,0.0,0.0,0.0,74,74,74,0,0.0,0.010581016540527344,0.00449824333190918,0.005290508270263672,0.006082773208618164,0.0007922649383544922,0.010581016540527344,0.00449824333190918,0.005290508270263672,0.006082773208618164,0.0007922649383544922,0.0,0.0,0.0,0.0,0.0,0.010581016540527344,0.010581016540527344,0.010581016540527344,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,74,20980.97088778729,283.52663361874716,283.52663361874716,0.0,3,222,0,0,64,64,64,1,1,74,74.0,0,0
