FlowID,SrcIP,SrcPort,DstIP,DstPort,Protocol,StartTime,Fwd_Header_Len,Bwd_Header_Len,Tot_Fwd_Pkts,Tot_Bwd_Pkts,Tot_Fwd_Bytes,Tot_Bwd_Bytes,Fwd_PktLen_Min,Fwd_PktLen_Mean,Fwd_PktLen_Max,Fwd_PktLen_Std,Bwd_PktLen_Min,Bwd_PktLen_Mean,Bwd_PktLen_Max,Bwd_PktLen_Std,PktLen_Min,PktLen_Mean,PktLen_Max,PktLen_Var,PktLen_Std,Flow_Duration_s,Flow_IAT_Min,Flow_IAT_Mean,Flow_IAT_Max,Flow_IAT_Std,Fwd_IAT_Tot,Fwd_IAT_Min,Fwd_IAT_Mean,Fwd_IAT_Max,Fwd_IAT_Std,Bwd_IAT_Tot,Bwd_IAT_Min,Bwd_IAT_Mean,Bwd_IAT_Max,Bwd_IAT_Std,Active_Min,Active_Mean,Active_Max,Active_Std,Idle_Min,Idle_Mean,Idle_Max,Idle_Std,Fwd_PSH,Bwd_PSH,Fwd_URG,Bwd_URG,FIN_Count,SYN_Count,RST_Count,PSH_Count,ACK_Count,URG_Count,CWR_Count,ECE_Count,DownUp_Ratio,Fwd_Seg_Avg,Bwd_Seg_Avg,Fwd_Bulk_Byts_Avg,Fwd_Bulk_Pkts_Avg,Fwd_Bulk_Rate_Avg,Bwd_Bulk_Byts_Avg,Bwd_Bulk_Pkts_Avg,Bwd_Bulk_Rate_Avg,Init_Fwd_Win_Bytes,Init_Bwd_Win_Bytes,Fwd_Act_Data_Pkts,Fwd_Seg_Size_Min,Flow_Bytes_per_s,Flow_Pkts_per_s,Fwd_Pkts_per_s,Bwd_Pkts_per_s,Subflow_Fwd_Pkts_Avg,Subflow_Fwd_Bytes_Avg,Subflow_Bwd_Pkts_Avg,Subflow_Bwd_Bytes_Avg,TTL_Avg,TTL_Min,TTL_Max,Unique_Src_Ports,Unique_Dst_Ports,Packet_Size_Mode,Packet_Size_Median,First_Payload_Bytes,Label
10.0.1.2-40430-10.0.2.4-5201-6-1758471877748,10.0.1.2,40430,10.0.2.4,5201,6,1758471877.74854,222,0,3,0,222,0,74,74,74,0.0,0.0,0.0,0.0,0.0,74,74,74,0,0.0,0.012385845184326172,0.0044591426849365234,0.006192922592163086,0.007926702499389648,0.0017337799072265625,0.012385845184326172,0.0044591426849365234,0.006192922592163086,0.007926702499389648,0.0017337799072265625,0.0,0.0,0.0,0.0,0.0,0.012385845184326172,0.012385845184326172,0.012385845184326172,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,74,17923.686005774784,242.21197305101057,242.21197305101057,0.0,3,222,0,0,64,64,64,1,1,74,74.0,0,benign
10.0.3.6-60394-10.0.2.4-8080-6-1758471877750,10.0.3.6,60394,10.0.2.4,8080,6,1758471877.7500565,222,0,3,0,222,0,74,74,74,0.0,0.0,0.0,0.0,0.0,74,74,74,0,0.0,0.011146783828735352,0.004446983337402344,0.005573391914367676,0.006699800491333008,0.001126408576965332,0.011146783828735352,0.004446983337402344,0.005573391914367676,0.006699800491333008,0.001126408576965332,0.0,0.0,0.0,0.0,0.0,0.011146783828735352,0.011146783828735352,0.011146783828735352,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,74,19916.058605864866,269.13592710628194,269.13592710628194,0.0,3,222,0,0,64,64,64,1,1,74,74.0,0,benign
10.0.1.1-36531-10.0.3.5-0-17-1758471877764,10.0.1.1,36531,10.0.3.5,0,17,1758471877.76451,102,0,3,0,195,0,65,65,65,0.0,0.0,0.0,0.0,0.0,65,65,65,0,0.0,0.006203651428222656,0.0030727386474609375,0.003101825714111328,0.0031309127807617188,2.9087066650390625e-05,0.006203651428222656,0.0030727386474609375,0.003101825714111328,0.0031309127807617188,2.9087066650390625e-05,0.0,0.0,0.0,0.0,0.0,0.006203651428222656,0.006203651428222656,0.006203651428222656,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,65,31433.10069177556,483.5861644888547,483.5861644888547,0.0,3,195,0,0,64,64,64,1,1,65,65.0,31,benign
10.0.3.6-0-10.0.2.3-0-1-1758471923821,10.0.3.6,0,10.0.2.3,0,1,1758471923.8212037,680952,0,20028,0,841176,0,42,42,42,0.0,0.0,0.0,0.0,0.0,42,42,42,0,0.0,7.871926307678223,0.0002281665802001953,0.0003930656767203387,0.010465145111083984,0.000454139986691475,7.871926307678223,0.0002281665802001953,0.0003930656767203387,0.010465145111083984,0.000454139986691475,0.0,0.0,0.0,0.0,0.0,7.871926307678223,7.871926307678223,7.871926307678223,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,20028,42,106857.70764641467,2544.2311344384443,2544.2311344384443,0.0,20028,841176,0,0,64,64,64,1,1,42,42.0,8,dos
10.0.3.5-59330-10.0.2.3-80-6-1758471963859,10.0.3.5,59330,10.0.2.3,80,6,1758471963.8599844,162,0,3,0,162,0,54,54,54,0.0,0.0,0.0,0.0,0.0,54,54,54,0,0.0,0.15726852416992188,0.07834243774414062,0.07863426208496094,0.07892608642578125,0.0002918243408203125,0.15726852416992188,0.07834243774414062,0.07863426208496094,0.07892608642578125,0.0002918243408203125,0.0,0.0,0.0,0.0,0.0,0.15726852416992188,0.15726852416992188,0.15726852416992188,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,54,1030.085332427778,19.07565430421811,19.07565430421811,0.0,3,162,0,0,64,64,64,1,1,54,54.0,0,ddos
10.0.3.5-59607-10.0.2.3-80-6-1758471963860,10.0.3.5,59607,10.0.2.3,80,6,1758471963.8604367,162,0,3,0,162,0,54,54,54,0.0,0.0,0.0,0.0,0.0,54,54,54,0,0.0,0.16124963760375977,0.0795285701751709,0.08062481880187988,0.08172106742858887,0.0010962486267089844,0.16124963760375977,0.0795285701751709,0.08062481880187988,0.08172106742858887,0.0010962486267089844,0.0,0.0,0.0,0.0,0.0,0.16124963760375977,0.16124963760375977,0.16124963760375977,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,54,1004.6534206674256,18.6046929753227,18.6046929753227,0.0,3,162,0,0,64,64,64,1,1,54,54.0,0,ddos
10.0.3.5-59331-10.0.2.3-80-6-1758471963860,10.0.3.5,59331,10.0.2.3,80,6,1758471963.8608742,162,0,3,0,162,0,54,54,54,0.0,0.0,0.0,0.0,0.0,54,54,54,0,0.0,0.15517187118530273,0.07690715789794922,0.07758593559265137,0.07826471328735352,0.0006787776947021484,0.15517187118530273,0.07690715789794922,0.07758593559265137,0.07826471328735352,0.0006787776947021484,0.0,0.0,0.0,0.0,0.0,0.15517187118530273,0.15517187118530273,0.15517187118530273,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,54,1044.0036506780489,19.333400938482388,19.333400938482388,0.0,3,162,0,0,64,64,64,1,1,54,54.0,0,ddos
10.0.3.5-59332-10.0.2.3-80-6-1758471963861,10.0.3.5,59332,10.0.2.3,80,6,1758471963.861305,162,0,3,0,162,0,54,54,54,0.0,0.0,0.0,0.0,0.0,54,54,54,0,0.0,0.15703463554382324,0.0775914192199707,0.07851731777191162,0.07944321632385254,0.000925898551940918,0.15703463554382324,0.0775914192199707,0.07851731777191162,0.07944321632385254,0.000925898551940918,0.0,0.0,0.0,0.0,0.0,0.15703463554382324,0.15703463554382324,0.15703463554382324,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,54,1031.6195496552803,19.104065734357043,19.104065734357043,0.0,3,162,0,0,64,64,64,1,1,54,54.0,0,ddos
10.0.3.5-59333-10.0.2.3-80-6-1758471963861,10.0.3.5,59333,10.0.2.3,80,6,1758471963.8617268,162,0,3,0,162,0,54,54,54,0.0,0.0,0.0,0.0,0.0,54,54,54,0,0.0,0.1578683853149414,0.07772231101989746,0.0789341926574707,0.08014607429504395,0.0012118816375732422,0.1578683853149414,0.07772231101989746,0.0789341926574707,0.08014607429504395,0.0012118816375732422,0.0,0.0,0.0,0.0,0.0,0.1578683853149414,0.1578683853149414,0.1578683853149414,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,54,1026.1712608057412,19.00317149640262,19.00317149640262,0.0,3,162,0,0,64,64,64,1,1,54,54.0,0,ddos
10.0.3.5-59334-10.0.2.3-80-6-1758471963862,10.0.3.5,59334,10.0.2.3,80,6,1758471963.8621626,162,0,3,0,162,0,54,54,54,0.0,0.0,0.0,0.0,0.0,54,54,54,0,0.0,0.1604444980621338,0.07832503318786621,0.0802222490310669,0.08211946487426758,0.0018972158432006836,0.1604444980621338,0.07832503318786621,0.0802222490310669,0.08211946487426758,0.0018972158432006836,0.0,0.0,0.0,0.0,0.0,0.1604444980621338,0.1604444980621338,0.1604444980621338,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,54,1009.6949534365699,18.698054693269814,18.698054693269814,0.0,3,162,0,0,64,64,64,1,1,54,54.0,0,ddos
10.0.3.5-59335-10.0.2.3-80-6-1758471963862,10.0.3.5,59335,10.0.2.3,80,6,1758471963.862609,162,0,3,0,162,0,54,54,54,0.0,0.0,0.0,0.0,0.0,54,54,54,0,0.0,0.15795159339904785,0.07840418815612793,0.07897579669952393,0.07954740524291992,0.0005716085433959961,0.15795159339904785,0.07840418815612793,0.07897579669952393,0.07954740524291992,0.0005716085433959961,0.0,0.0,0.0,0.0,0.0,0.15795159339904785,0.15795159339904785,0.15795159339904785,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,54,1025.6306790823203,18.993160723746673,18.993160723746673,0.0,3,162,0,0,64,64,64,1,1,54,54.0,0,ddos
10.0.3.5-59336-10.0.2.3-80-6-1758471963863,10.0.3.5,59336,10.0.2.3,80,6,1758471963.8630347,162,0,3,0,162,0,54,54,54,0.0,0.0,0.0,0.0,0.0,54,54,54,0,0.0,0.1634986400604248,0.07992410659790039,0.0817493200302124,0.08357453346252441,0.0018252134323120117,0.1634986400604248,0.07992410659790039,0.0817493200302124,0.08357453346252441,0.0018252134323120117,0.0,0.0,0.0,0.0,0.0,0.1634986400604248,0.1634986400604248,0.1634986400604248,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,54,990.833929506258,18.348776472338113,18.348776472338113,0.0,3,162,0,0,64,64,64,1,1,54,54.0,0,ddos
10.0.3.5-59419-10.0.2.3-80-6-1758471963911,10.0.3.5,59419,10.0.2.3,80,6,1758471963.9113345,54,0,1,0,54,0,54,54,54,0.0,0.0,0.0,0.0,0.0,54,54,54,0.0,0.0,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,54,54000000.0,1000000.0,1000000.0,0.0,1,54,0,0,64,64,64,1,1,54,54.0,0,ddos
10.0.3.5-59420-10.0.2.3-80-6-1758471963911,10.0.3.5,59420,10.0.2.3,80,6,1758471963.9118128,54,0,1,0,54,0,54,54,54,0.0,0.0,0.0,0.0,0.0,54,54,54,0.0,0.0,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,54,54000000.0,1000000.0,1000000.0,0.0,1,54,0,0,64,64,64,1,1,54,54.0,0,ddos
10.0.3.5-59421-10.0.2.3-80-6-1758471963912,10.0.3.5,59421,10.0.2.3,80,6,1758471963.9122362,54,0,1,0,54,0,54,54,54,0.0,0.0,0.0,0.0,0.0,54,54,54,0.0,0.0,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,54,54000000.0,1000000.0,1000000.0,0.0,1,54,0,0,64,64,64,1,1,54,54.0,0,ddos
10.0.3.5-59422-10.0.2.3-80-6-1758471963912,10.0.3.5,59422,10.0.2.3,80,6,1758471963.912654,54,0,1,0,54,0,54,54,54,0.0,0.0,0.0,0.0,0.0,54,54,54,0.0,0.0,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,54,54000000.0,1000000.0,1000000.0,0.0,1,54,0,0,64,64,64,1,1,54,54.0,0,ddos
10.0.3.5-59423-10.0.2.3-80-6-1758471963913,10.0.3.5,59423,10.0.2.3,80,6,1758471963.9130645,54,0,1,0,54,0,54,54,54,0.0,0.0,0.0,0.0,0.0,54,54,54,0.0,0.0,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,54,54000000.0,1000000.0,1000000.0,0.0,1,54,0,0,64,64,64,1,1,54,54.0,0,ddos
