Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.0.3.6-59543-10.0.3.5-5353-17-1759156814863,10.0.3.6,59543,10.0.3.5,5353,17,1759156814.8638284,1e-06,1,0,65,0,65,65,65,0.0,0.0,0.0,0.0,0.0,65000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,42,0,1000000.0,0.0,65,65,65,0.0,0.0,0,0,0,0,0,0,0,0,0.0,65,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,65,0,0,0,0,1,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,benign
10.0.3.5-0-10.0.3.6-0-1-1759156814913,10.0.3.5,0,10.0.3.6,0,1,1759156814.9135613,1e-06,1,0,93,0,93,93,93,0.0,0.0,0.0,0.0,0.0,93000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,34,0,1000000.0,0.0,93,93,93,0.0,0.0,0,0,0,0,0,0,0,0,0.0,93,93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,93,0,0,0,0,1,93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,benign
10.0.1.1-40574-10.0.3.5-5353-17-1759156814952,10.0.1.1,40574,10.0.3.5,5353,17,1759156814.9522314,0.029901742935180664,3,0,195,0,65,65,65,0.0,0.0,0.0,0.0,0.0,6521.358986421298,100.3285997910969,0.014950871467590332,0.005144238471984863,0.020095109939575195,0.009806632995605469,0.029901742935180664,0.014950871467590332,0.005144238471984863,0.020095109939575195,0.009806632995605469,0.0,0.0,0.0,0.0,0.0,0,0,0,0,126,0,100.3285997910969,0.0,65,65,65,0.0,0,0,0,0,0,0,0,0,0,0.0,65,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,195,0,0,0,0,3,65,0.029901742935180664,0.0,0.029901742935180664,0.029901742935180664,0.0,0.0,0.0,0.0,benign
10.0.1.2-39714-10.0.3.5-5353-17-1759156814953,10.0.1.2,39714,10.0.3.5,5353,17,1759156814.953357,0.029074907302856445,3,0,195,0,65,65,65,0.0,0.0,0.0,0.0,0.0,6706.814160017712,103.1817563079648,0.014537453651428223,0.004941582679748535,0.019479036331176758,0.009595870971679688,0.029074907302856445,0.014537453651428223,0.004941582679748535,0.019479036331176758,0.009595870971679688,0.0,0.0,0.0,0.0,0.0,0,0,0,0,126,0,103.1817563079648,0.0,65,65,65,0.0,0,0,0,0,0,0,0,0,0,0.0,65,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,195,0,0,0,0,3,65,0.029074907302856445,0.0,0.029074907302856445,0.029074907302856445,0.0,0.0,0.0,0.0,benign
10.0.1.2-37152-10.0.2.4-5201-6-1759156814985,10.0.1.2,37152,10.0.2.4,5201,6,1759156814.985568,0.01282501220703125,3,0,222,0,74,74,74,0.0,0.0,0.0,0.0,0.0,17309.9250446163,233.91790600832837,0.006412506103515625,0.0023720264434814453,0.00878453254699707,0.00404047966003418,0.01282501220703125,0.006412506103515625,0.0023720264434814453,0.00878453254699707,0.00404047966003418,0.0,0.0,0.0,0.0,0.0,0,0,0,0,222,0,233.91790600832837,0.0,74,74,74,0.0,0,0,3,0,0,0,0,0,0,0.0,74,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,222,0,0,0,0,0,74,0.01282501220703125,0.0,0.01282501220703125,0.01282501220703125,0.0,0.0,0.0,0.0,benign
10.0.3.5-50296-10.0.2.4-5201-6-1759156814993,10.0.3.5,50296,10.0.2.4,5201,6,1759156814.993073,1e-06,1,0,74,0,74,74,74,0.0,0.0,0.0,0.0,0.0,74000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,74,0,1000000.0,0.0,74,74,74,0.0,0.0,0,1,0,0,0,0,0,0,0.0,74,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,74,0,0,0,0,0,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,benign
10.0.1.1-42442-10.0.2.4-5201-6-1759156814994,10.0.1.1,42442,10.0.2.4,5201,6,1759156814.9949703,1e-06,1,0,74,0,74,74,74,0.0,0.0,0.0,0.0,0.0,74000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,74,0,1000000.0,0.0,74,74,74,0.0,0.0,0,1,0,0,0,0,0,0,0.0,74,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,74,0,0,0,0,0,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,benign
10.0.1.1-0-10.0.2.4-0-1-1759156814995,10.0.1.1,0,10.0.2.4,0,1,1759156814.9954185,1e-06,1,0,98,0,98,98,98,0.0,0.0,0.0,0.0,0.0,98000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,34,0,1000000.0,0.0,98,98,98,0.0,0.0,0,0,0,0,0,0,0,0,0.0,98,98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,98,0,0,0,0,1,98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,benign
10.0.3.5-0-10.0.1.1-0-1-1759156814998,10.0.3.5,0,10.0.1.1,0,1,1759156814.9980035,1e-06,1,0,93,0,93,93,93,0.0,0.0,0.0,0.0,0.0,93000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,34,0,1000000.0,0.0,93,93,93,0.0,0.0,0,0,0,0,0,0,0,0,0.0,93,93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,93,0,0,0,0,1,93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,benign
10.0.3.5-50296-10.0.2.4-5201-6-1759156815005,10.0.3.5,50296,10.0.2.4,5201,6,1759156815.0050795,0.020460844039916992,2,0,148,0,74,74,74,0.0,0.0,0.0,0.0,0.0,7233.328190726995,97.7476782530675,0.020460844039916992,0.0,0.020460844039916992,0.020460844039916992,0.020460844039916992,0.020460844039916992,0.0,0.020460844039916992,0.020460844039916992,0.0,0.0,0.0,0.0,0.0,0,0,0,0,148,0,97.7476782530675,0.0,74,74,74,0.0,0,0,2,0,0,0,0,0,0,0.0,74,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,148,0,0,0,0,0,74,0.020460844039916992,0.0,0.020460844039916992,0.020460844039916992,0.0,0.0,0.0,0.0,benign
