Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.0.3.6-56499-10.0.3.5-5353-17-1759022259274,10.0.3.6,56499,10.0.3.5,5353,17,1759022259.2748053,1e-06,1,0,65,0,65,65,65,0.0,0.0,0.0,0.0,0.0,65000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,42,0,1000000.0,0.0,65,65,65,0.0,0.0,0,0,0,0,0,0,0,0,0.0,65,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,65,0,0,0,0,1,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,benign
10.0.3.5-0-10.0.3.6-0-1-1759022259296,10.0.3.5,0,10.0.3.6,0,1,1759022259.2960484,1e-06,1,0,93,0,93,93,93,0.0,0.0,0.0,0.0,0.0,93000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,34,0,1000000.0,0.0,93,93,93,0.0,0.0,0,0,0,0,0,0,0,0,0.0,93,93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,93,0,0,0,0,1,93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,benign
10.0.1.1-50375-10.0.3.5-5353-17-1759022259323,10.0.1.1,50375,10.0.3.5,5353,17,1759022259.323842,0.021487951278686523,3,0,195,0,65,65,65,0.0,0.0,0.0,0.0,0.0,9074.853040709222,139.6131237032188,0.010743975639343262,0.0006383657455444336,0.011382341384887695,0.010105609893798828,0.021487951278686523,0.010743975639343262,0.0006383657455444336,0.011382341384887695,0.010105609893798828,0.0,0.0,0.0,0.0,0.0,0,0,0,0,126,0,139.6131237032188,0.0,65,65,65,0.0,0,0,0,0,0,0,0,0,0,0.0,65,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,195,0,0,0,0,3,65,0.021487951278686523,0.0,0.021487951278686523,0.021487951278686523,0.0,0.0,0.0,0.0,benign
10.0.1.2-45117-10.0.3.5-5353-17-1759022259324,10.0.1.2,45117,10.0.3.5,5353,17,1759022259.3247585,0.02226114273071289,3,0,195,0,65,65,65,0.0,0.0,0.0,0.0,0.0,8759.65813430438,134.76397129699046,0.011130571365356445,0.0014171600341796875,0.012547731399536133,0.009713411331176758,0.02226114273071289,0.011130571365356445,0.0014171600341796875,0.012547731399536133,0.009713411331176758,0.0,0.0,0.0,0.0,0.0,0,0,0,0,126,0,134.76397129699046,0.0,65,65,65,0.0,0,0,0,0,0,0,0,0,0,0.0,65,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,195,0,0,0,0,3,65,0.02226114273071289,0.0,0.02226114273071289,0.02226114273071289,0.0,0.0,0.0,0.0,benign
10.0.1.2-50572-10.0.2.4-5201-6-1759022259338,10.0.1.2,50572,10.0.2.4,5201,6,1759022259.338327,0.018714427947998047,3,0,222,0,74,74,74,0.0,0.0,0.0,0.0,0.0,11862.505261548653,160.3041251560629,0.009357213973999023,0.0015630722045898438,0.010920286178588867,0.00779414176940918,0.018714427947998047,0.009357213973999023,0.0015630722045898438,0.010920286178588867,0.00779414176940918,0.0,0.0,0.0,0.0,0.0,0,0,0,0,222,0,160.3041251560629,0.0,74,74,74,0.0,0,0,3,0,0,0,0,0,0,0.0,74,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,222,0,0,0,0,0,74,0.018714427947998047,0.0,0.018714427947998047,0.018714427947998047,0.0,0.0,0.0,0.0,benign
10.0.1.2-0-10.0.2.3-0-1-1759022259343,10.0.1.2,0,10.0.2.3,0,1,1759022259.3430836,0.026456594467163086,3,0,294,0,98,98,98,0.0,0.0,0.0,0.0,0.0,11112.54135013112,113.39327908297061,0.013228297233581543,0.0016368627548217773,0.01486515998840332,0.011591434478759766,0.026456594467163086,0.013228297233581543,0.0016368627548217773,0.01486515998840332,0.011591434478759766,0.0,0.0,0.0,0.0,0.0,0,0,0,0,102,0,113.39327908297061,0.0,98,98,98,0.0,0,0,0,0,0,0,0,0,0,0.0,98,98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,294,0,0,0,0,3,98,0.026456594467163086,0.0,0.026456594467163086,0.026456594467163086,0.0,0.0,0.0,0.0,benign
10.0.1.2-58926-10.0.2.3-80-6-1759022259343,10.0.1.2,58926,10.0.2.3,80,6,1759022259.3436801,0.026630878448486328,3,0,222,0,74,74,74,0.0,0.0,0.0,0.0,0.0,8336.187648838833,112.65118444376802,0.013315439224243164,0.0018298625946044922,0.015145301818847656,0.011485576629638672,0.026630878448486328,0.013315439224243164,0.0018298625946044922,0.015145301818847656,0.011485576629638672,0.0,0.0,0.0,0.0,0.0,0,0,0,0,222,0,112.65118444376802,0.0,74,74,74,0.0,0,0,3,0,0,0,0,0,0,0.0,74,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,222,0,0,0,0,0,74,0.026630878448486328,0.0,0.026630878448486328,0.026630878448486328,0.0,0.0,0.0,0.0,benign
10.0.1.1-0-10.0.2.4-0-1-1759022259352,10.0.1.1,0,10.0.2.4,0,1,1759022259.352192,0.02319192886352539,3,0,294,0,98,98,98,0.0,0.0,0.0,0.0,0.0,12676.823981742295,129.3553467524724,0.011595964431762695,0.0018072128295898438,0.013403177261352539,0.009788751602172852,0.02319192886352539,0.011595964431762695,0.0018072128295898438,0.013403177261352539,0.009788751602172852,0.0,0.0,0.0,0.0,0.0,0,0,0,0,102,0,129.3553467524724,0.0,98,98,98,0.0,0,0,0,0,0,0,0,0,0,0.0,98,98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,294,0,0,0,0,3,98,0.02319192886352539,0.0,0.02319192886352539,0.02319192886352539,0.0,0.0,0.0,0.0,benign
10.0.1.1-39878-10.0.2.4-5201-6-1759022259353,10.0.1.1,39878,10.0.2.4,5201,6,1759022259.3533957,0.02279376983642578,3,0,222,0,74,74,74,0.0,0.0,0.0,0.0,0.0,9739.503451738421,131.61491150997867,0.01139688491821289,0.0016579627990722656,0.013054847717285156,0.009738922119140625,0.02279376983642578,0.01139688491821289,0.0016579627990722656,0.013054847717285156,0.009738922119140625,0.0,0.0,0.0,0.0,0.0,0,0,0,0,222,0,131.61491150997867,0.0,74,74,74,0.0,0,0,3,0,0,0,0,0,0,0.0,74,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,222,0,0,0,0,0,74,0.02279376983642578,0.0,0.02279376983642578,0.02279376983642578,0.0,0.0,0.0,0.0,benign
10.0.3.5-33950-10.0.2.4-5201-6-1759022259360,10.0.3.5,33950,10.0.2.4,5201,6,1759022259.3602679,0.01741766929626465,3,0,222,0,74,74,74,0.0,0.0,0.0,0.0,0.0,12745.677749640681,172.23888850865785,0.008708834648132324,0.0024079084396362305,0.011116743087768555,0.006300926208496094,0.01741766929626465,0.008708834648132324,0.0024079084396362305,0.011116743087768555,0.006300926208496094,0.0,0.0,0.0,0.0,0.0,0,0,0,0,222,0,172.23888850865785,0.0,74,74,74,0.0,0,0,3,0,0,0,0,0,0,0.0,74,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,222,0,0,0,0,0,74,0.01741766929626465,0.0,0.01741766929626465,0.01741766929626465,0.0,0.0,0.0,0.0,benign
10.0.3.6-33074-10.0.2.4-8080-6-1759022259361,10.0.3.6,33074,10.0.2.4,8080,6,1759022259.3613076,0.01695394515991211,3,0,222,0,74,74,74,0.0,0.0,0.0,0.0,0.0,13094.29739839685,176.94996484320066,0.008476972579956055,0.0025115013122558594,0.010988473892211914,0.005965471267700195,0.01695394515991211,0.008476972579956055,0.0025115013122558594,0.010988473892211914,0.005965471267700195,0.0,0.0,0.0,0.0,0.0,0,0,0,0,222,0,176.94996484320066,0.0,74,74,74,0.0,0,0,3,0,0,0,0,0,0,0.0,74,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,222,0,0,0,0,0,74,0.01695394515991211,0.0,0.01695394515991211,0.01695394515991211,0.0,0.0,0.0,0.0,benign
10.0.1.1-40764-10.0.2.3-80-6-1759022259367,10.0.1.1,40764,10.0.2.3,80,6,1759022259.367354,0.013350963592529297,3,0,222,0,74,74,74,0.0,0.0,0.0,0.0,0.0,16628.013286188794,224.70288224579448,0.0066754817962646484,0.00046372413635253906,0.0071392059326171875,0.006211757659912109,0.013350963592529297,0.0066754817962646484,0.00046372413635253906,0.0071392059326171875,0.006211757659912109,0.0,0.0,0.0,0.0,0.0,0,0,0,0,222,0,224.70288224579448,0.0,74,74,74,0.0,0,0,3,0,0,0,0,0,0,0.0,74,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,222,0,0,0,0,0,74,0.013350963592529297,0.0,0.013350963592529297,0.013350963592529297,0.0,0.0,0.0,0.0,benign
10.0.3.6-0-10.0.2.3-0-1-1759022308348,10.0.3.6,0,10.0.2.3,0,1,1759022308.348822,12.127505779266357,20211,0,848862,0,42,42,42,0.0,0.0,0.0,0.0,0.0,69994.77183933786,1666.5421866509014,0.0006000745066435605,0.0006516634400611961,0.015496969223022461,0.00032210350036621094,12.127505779266357,0.0006000745066435605,0.0006516634400611961,0.015496969223022461,0.00032210350036621094,0.0,0.0,0.0,0.0,0.0,0,0,0,0,687174,0,1666.5421866509014,0.0,42,42,42,0.0,0,0,0,0,0,0,0,0,0,0.0,42,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20211,848862,0,0,0,0,20211,42,12.127505779266357,0.0,12.127505779266357,12.127505779266357,0.0,0.0,0.0,0.0,dos
10.0.3.5-58541-10.0.2.3-80-6-1759022365505,10.0.3.5,58541,10.0.2.3,80,6,1759022365.5058963,1e-06,1,0,54,0,54,54,54,0.0,0.0,0.0,0.0,0.0,54000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,54,0,1000000.0,0.0,54,54,54,0.0,0.0,0,1,0,0,0,0,0,0,0.0,54,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,54,0,0,0,0,0,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ddos
10.0.3.5-58542-10.0.2.3-80-6-1759022365506,10.0.3.5,58542,10.0.2.3,80,6,1759022365.5066936,1e-06,1,0,54,0,54,54,54,0.0,0.0,0.0,0.0,0.0,54000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,54,0,1000000.0,0.0,54,54,54,0.0,0.0,0,1,0,0,0,0,0,0,0.0,54,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,54,0,0,0,0,0,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ddos
10.0.3.5-58543-10.0.2.3-80-6-1759022365507,10.0.3.5,58543,10.0.2.3,80,6,1759022365.5073822,1e-06,1,0,54,0,54,54,54,0.0,0.0,0.0,0.0,0.0,54000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,54,0,1000000.0,0.0,54,54,54,0.0,0.0,0,1,0,0,0,0,0,0,0.0,54,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,54,0,0,0,0,0,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ddos
10.0.3.5-58544-10.0.2.3-80-6-1759022365508,10.0.3.5,58544,10.0.2.3,80,6,1759022365.5080998,1e-06,1,0,54,0,54,54,54,0.0,0.0,0.0,0.0,0.0,54000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,54,0,1000000.0,0.0,54,54,54,0.0,0.0,0,1,0,0,0,0,0,0,0.0,54,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,54,0,0,0,0,0,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ddos
10.0.3.5-58545-10.0.2.3-80-6-1759022365508,10.0.3.5,58545,10.0.2.3,80,6,1759022365.5086713,1e-06,1,0,54,0,54,54,54,0.0,0.0,0.0,0.0,0.0,54000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,54,0,1000000.0,0.0,54,54,54,0.0,0.0,0,1,0,0,0,0,0,0,0.0,54,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,54,0,0,0,0,0,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ddos
10.0.3.5-58546-10.0.2.3-80-6-1759022365509,10.0.3.5,58546,10.0.2.3,80,6,1759022365.5094092,1e-06,1,0,54,0,54,54,54,0.0,0.0,0.0,0.0,0.0,54000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,54,0,1000000.0,0.0,54,54,54,0.0,0.0,0,1,0,0,0,0,0,0,0.0,54,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,54,0,0,0,0,0,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ddos
10.0.3.5-58547-10.0.2.3-80-6-1759022365510,10.0.3.5,58547,10.0.2.3,80,6,1759022365.5100915,1e-06,1,0,54,0,54,54,54,0.0,0.0,0.0,0.0,0.0,54000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,54,0,1000000.0,0.0,54,54,54,0.0,0.0,0,1,0,0,0,0,0,0,0.0,54,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,54,0,0,0,0,0,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ddos
10.0.3.5-58669-10.0.2.3-80-6-1759022365511,10.0.3.5,58669,10.0.2.3,80,6,1759022365.5110211,1e-06,1,0,54,0,54,54,54,0.0,0.0,0.0,0.0,0.0,54000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,54,0,1000000.0,0.0,54,54,54,0.0,0.0,0,1,0,0,0,0,0,0,0.0,54,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,54,0,0,0,0,0,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ddos
10.0.3.5-58548-10.0.2.3-80-6-1759022365513,10.0.3.5,58548,10.0.2.3,80,6,1759022365.5135274,1e-06,1,0,54,0,54,54,54,0.0,0.0,0.0,0.0,0.0,54000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,54,0,1000000.0,0.0,54,54,54,0.0,0.0,0,1,0,0,0,0,0,0,0.0,54,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,54,0,0,0,0,0,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ddos
10.0.3.5-58549-10.0.2.3-80-6-1759022365514,10.0.3.5,58549,10.0.2.3,80,6,1759022365.5142787,1e-06,1,0,54,0,54,54,54,0.0,0.0,0.0,0.0,0.0,54000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,54,0,1000000.0,0.0,54,54,54,0.0,0.0,0,1,0,0,0,0,0,0,0.0,54,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,54,0,0,0,0,0,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ddos
10.0.3.5-58550-10.0.2.3-80-6-1759022365515,10.0.3.5,58550,10.0.2.3,80,6,1759022365.515055,1e-06,1,0,54,0,54,54,54,0.0,0.0,0.0,0.0,0.0,54000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,54,0,1000000.0,0.0,54,54,54,0.0,0.0,0,1,0,0,0,0,0,0,0.0,54,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,54,0,0,0,0,0,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ddos
10.0.3.5-58551-10.0.2.3-80-6-1759022365515,10.0.3.5,58551,10.0.2.3,80,6,1759022365.5157783,1e-06,1,0,54,0,54,54,54,0.0,0.0,0.0,0.0,0.0,54000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,54,0,1000000.0,0.0,54,54,54,0.0,0.0,0,1,0,0,0,0,0,0,0.0,54,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,54,0,0,0,0,0,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ddos
10.0.3.5-58552-10.0.2.3-80-6-1759022365516,10.0.3.5,58552,10.0.2.3,80,6,1759022365.5164895,1e-06,1,0,54,0,54,54,54,0.0,0.0,0.0,0.0,0.0,54000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,54,0,1000000.0,0.0,54,54,54,0.0,0.0,0,1,0,0,0,0,0,0,0.0,54,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,54,0,0,0,0,0,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ddos
